Start_UTC,End_UTC,Mid_UTC,CO_ppbv,CO2_ppmv,H2O_ppmv
29092.978, 29093.924, 29093.451, -9999.00,-9999.00,-9999.00
29093.926, 29094.879, 29094.403, -9999.00,-9999.00,-9999.00
29094.896, 29095.842, 29095.369, -9999.00,-9999.00,-9999.00
29095.842, 29096.790, 29096.316, -9999.00,-9999.00,-9999.00
29096.790, 29097.742, 29097.266, -9999.00,-9999.00,-9999.00
29097.742, 29098.693, 29098.217, -9999.00,-9999.00,-9999.00
29098.693, 29099.639, 29099.166, -9999.00,-9999.00,-9999.00
29099.639, 29100.586, 29100.113, -9999.00,-9999.00,-9999.00
29100.598, 29101.551, 29101.075, -9999.00,-9999.00,-9999.00
29101.554, 29102.506, 29102.030, -9999.00,-9999.00,-9999.00
29102.506, 29103.457, 29102.981, -9999.00,-9999.00,-9999.00
29103.457, 29104.404, 29103.930, -9999.00,-9999.00,-9999.00
29104.404, 29105.351, 29104.878, -9999.00,-9999.00,-9999.00
29105.351, 29106.303, 29105.827, -9999.00,-9999.00,-9999.00
29106.315, 29107.267, 29106.791, -9999.00,-9999.00,-9999.00
29107.280, 29108.231, 29107.755, -9999.00,-9999.00,-9999.00
29108.231, 29109.177, 29108.704, -9999.00,-9999.00,-9999.00
29109.177, 29110.125, 29109.651, -9999.00,-9999.00,-9999.00
29110.125, 29111.077, 29110.601, -9999.00,-9999.00,-9999.00
29111.082, 29112.033, 29111.558, -9999.00,-9999.00,-9999.00
29112.049, 29112.995, 29112.522, -9999.00,-9999.00,-9999.00
29112.995, 29113.948, 29113.471, -9999.00,-9999.00,-9999.00
29113.948, 29114.901, 29114.425, -9999.00,-9999.00,-9999.00
29114.901, 29115.853, 29115.377, -9999.00,-9999.00,-9999.00
29115.853, 29116.805, 29116.329, -9999.00,-9999.00,-9999.00
29116.805, 29117.756, 29117.281, -9999.00,-9999.00,-9999.00
29117.773, 29118.721, 29118.247, -9999.00,-9999.00,-9999.00
29118.723, 29119.670, 29119.197, -9999.00,-9999.00,-9999.00
29119.670, 29120.623, 29120.147, -9999.00,-9999.00,-9999.00
29120.623, 29121.574, 29121.099, -9999.00,-9999.00,-9999.00
29121.574, 29122.526, 29122.050, -9999.00,-9999.00,-9999.00
29122.526, 29123.472, 29122.999, -9999.00,-9999.00,-9999.00
29123.484, 29124.431, 29123.957, -9999.00,-9999.00,-9999.00
29124.439, 29125.392, 29124.916, -9999.00,-9999.00,-9999.00
29125.392, 29126.343, 29125.868, -9999.00,-9999.00,-9999.00
29126.343, 29127.289, 29126.816, -9999.00,-9999.00,-9999.00
29127.289, 29128.236, 29127.762, -9999.00,-9999.00,-9999.00
29128.239, 29129.192, 29128.716, -9999.00,-9999.00,-9999.00
29129.199, 29130.151, 29129.675, -9999.00,-9999.00,-9999.00
29130.151, 29131.102, 29130.626, -9999.00,-9999.00,-9999.00
29131.102, 29132.049, 29131.575, -9999.00,-9999.00,-9999.00
29132.049, 29132.996, 29132.522, -9999.00,-9999.00,-9999.00
29132.996, 29133.949, 29133.473, -9999.00,-9999.00,-9999.00
29133.950, 29134.901, 29134.425, -9999.00,-9999.00,-9999.00
29134.915, 29135.866, 29135.391, -9999.00,-9999.00,-9999.00
29135.867, 29136.813, 29136.340, -9999.00,-9999.00,-9999.00
29136.813, 29137.761, 29137.287, -9999.00,-9999.00,-9999.00
29137.761, 29138.713, 29138.237, -9999.00,-9999.00,-9999.00
29138.713, 29139.664, 29139.189, -9999.00,-9999.00,-9999.00
29139.664, 29140.610, 29140.137, -9999.00,-9999.00,-9999.00
29140.620, 29141.567, 29141.094, -9999.00,-9999.00,-9999.00
29141.572, 29142.525, 29142.049, -9999.00,-9999.00,-9999.00
29142.525, 29143.477, 29143.001, -9999.00,-9999.00,-9999.00
29143.477, 29144.428, 29143.953, -9999.00,-9999.00,-9999.00
29144.428, 29145.375, 29144.902, -9999.00,-9999.00,-9999.00
29145.381, 29146.328, 29145.855, -9999.00,-9999.00,-9999.00
29146.337, 29147.290, 29146.814, -9999.00,-9999.00,-9999.00
29147.290, 29148.241, 29147.766, -9999.00,-9999.00,-9999.00
29148.241, 29149.193, 29148.717, -9999.00,-9999.00,-9999.00
29149.193, 29150.139, 29149.666, -9999.00,-9999.00,-9999.00
29150.139, 29151.098, 29150.618, -9999.00,-9999.00,-9999.00
29151.099, 29152.052, 29151.576, -9999.00,-9999.00,-9999.00
29152.061, 29153.014, 29152.537, -9999.00,-9999.00,-9999.00
29153.014, 29153.965, 29153.490, -9999.00,-9999.00,-9999.00
29153.965, 29154.917, 29154.441, -9999.00,-9999.00,-9999.00
29154.917, 29155.863, 29155.390, -9999.00,-9999.00,-9999.00
29155.863, 29156.811, 29156.337, -9999.00,-9999.00,-9999.00
29156.811, 29157.763, 29157.287, -9999.00,-9999.00,-9999.00
29157.775, 29158.726, 29158.250, -9999.00,-9999.00,-9999.00
29158.729, 29159.681, 29159.205, -9999.00,-9999.00,-9999.00
