Start_UTC,Latitude,Longitude,GPS_Alt,AOD0501,CO_ppbv,Mid_UTC,Number_Concentration,rBC_massConc,CDP_LWC
40279.0,-12.726028900000001,4.9999,5484.6,0.013000000000000001,77.75,40279.0,,,0.0
40280.0,-12.7274,4.9999,5485.2,0.013000000000000001,78.405,40280.0,,,0.0
40281.0,-12.728662400000001,4.9999,5482.4,0.013000000000000001,76.8,40282.0,,,0.0
40282.0,-12.729940199999998,4.9999,5483.9,0.013000000000000001,78.84,40283.0,,,0.0
40283.0,-12.7312209,4.9999,5482.7,0.013000000000000001,80.13,40284.0,,,0.0
40284.0,-12.7324879,4.9999,5481.7,0.013000000000000001,79.63,40285.0,,,0.0
40285.0,-12.7338144,4.9999,5484.8,0.013000000000000001,78.02,40286.0,,,0.0
40286.0,-12.7351404,4.9999,5485.5,0.013000000000000001,79.47,40287.0,,,0.0
40287.0,-12.7364133,4.9999,5483.6,0.013000000000000001,79.4,40288.0,,,0.0
40288.0,-12.7376804,4.9999,5484.2,0.013000000000000001,78.72,40289.0,,,0.0
40289.0,-12.739233,4.9999,5483.2,0.013000000000000001,77.92,40289.0,,,0.0
40290.0,-12.7417203,4.9999,5483.9,0.013000000000000001,78.65,40290.0,,,0.0
40291.0,-12.743,4.9999,5483.7,0.013000000000000001,78.25,40291.0,,,0.0
40292.0,-12.7442624,4.9999,5485.6,0.013000000000000001,78.63,40292.0,,,0.0
40293.0,-12.745540199999999,4.9999,5484.8,0.013000000000000001,78.86,40293.0,,,0.0
40294.0,-12.7468209,4.9999,5484.8,0.013000000000000001,77.41,40294.0,,,0.0
40295.0,-12.748151400000001,4.9999,5482.7,0.013000000000000001,77.61,40295.0,,,0.0
40296.0,-12.7494601,4.9999,5482.7,0.013000000000000001,79.54,40296.0,,,0.0
40297.0,-12.750740400000002,4.9999,5484.1,0.013000000000000001,79.25,40297.0,,,0.0
40298.0,-12.7520133,4.9999367,5484.8,0.013000000000000001,80.24000000000001,40298.0,,,0.0
40299.0,-12.7533076,5.0,5484.3,0.013000000000000001,78.49,40300.0,,,0.0
40300.0,-12.7549146,5.0,5482.6,0.013000000000000001,80.17,40301.0,,,0.0
40301.0,-12.757320300000002,5.0,5485.6,0.013000000000000001,80.29,40302.0,,,0.0
40302.0,-12.7586,5.0,5483.4,0.013000000000000001,78.82,40303.0,,,0.0
40303.0,-12.759862400000001,5.0,5483.6,0.013000000000000001,77.86,40304.0,,,0.0
40304.0,-12.761221699999998,5.0,5484.7,0.013000000000000001,77.63,40305.0,,,0.0
